created,text,tweet_id,coordinates,lat,long,retwc,hashtag,username,usersince,followers,friends,authorid,authorloc,geoenable,source,is_usa_loc
2021-08-09 18:44:35,b'Did you know you can still sign up to be an organ donor when you apply for a REAL ID?! KYTC is proud to support\xe2\x80\xa6 https://t.co/znXwNzAsiR',1424803812880134145,,None,None,2,None,REAL ID KY,2020-03-03 13:25:56,446,44,1234831544763715585,Kentucky,False,Twitter Web App,KY
2021-08-09 18:44:28,"b'Sign up online : https://t.co/yJpFtL2Oef\n\nOr call us on the toll free number 1800 103 7100 for any queries. \n\n""Orga\xe2\x80\xa6 https://t.co/ILr2mu9a22'",1424803784606175244,,None,None,0,None,MOHAN Foundation,2010-02-02 08:42:42,1849,338,110649823,India,True,Twitter for Android,
2021-08-09 18:38:36,"b'RT @pradipsinhbjp: ""\xe0\xa4\x85\xe0\xa4\x82\xe0\xa4\x97\xe0\xa4\xa6\xe0\xa4\xbe\xe0\xa4\xa8 \xe0\xa4\xae\xe0\xa4\xb9\xe0\xa4\xbe\xe0\xa4\xa6\xe0\xa4\xbe\xe0\xa4\xa8""\n\nWith organ donation you can save upto eight lives.\n\nLet us all help everyone need and put an end to the\xe2\x80\xa6'",1424802306629980166,,None,None,135,None,Dhaval_Chavda🇮🇳,2014-09-08 16:45:19,683,623,2764895524,Botad ,True,Twitter for iPhone,
2021-08-09 18:37:59,"b""RT @Vasuragh: Kidney Warriors Foundation can't ignore needs of young parents struggling to manage their babies who face some kind of kidney\xe2\x80\xa6""",1424802151667159054,,None,None,4,None,dial4242,2016-11-26 10:48:11,1935,632,802463957436878848,India,True,Twitter for Android,
2021-08-09 18:20:30,"b'RT @pradipsinhbjp: ""\xe0\xa4\x85\xe0\xa4\x82\xe0\xa4\x97\xe0\xa4\xa6\xe0\xa4\xbe\xe0\xa4\xa8 \xe0\xa4\xae\xe0\xa4\xb9\xe0\xa4\xbe\xe0\xa4\xa6\xe0\xa4\xbe\xe0\xa4\xa8""\n\nWith organ donation you can save upto eight lives.\n\nLet us all help everyone need and put an end to the\xe2\x80\xa6'",1424797751720628226,,None,None,135,None,prakashchandra,2013-02-27 10:57:00,2269,564,1224396188,Surat Gujrat,True,Twitter for Android,
2021-08-09 18:13:32,"b'RT @pradipsinhbjp: ""\xe0\xa4\x85\xe0\xa4\x82\xe0\xa4\x97\xe0\xa4\xa6\xe0\xa4\xbe\xe0\xa4\xa8 \xe0\xa4\xae\xe0\xa4\xb9\xe0\xa4\xbe\xe0\xa4\xa6\xe0\xa4\xbe\xe0\xa4\xa8""\n\nWith organ donation you can save upto eight lives.\n\nLet us all help everyone need and put an end to the\xe2\x80\xa6'",1424795998812004356,,None,None,135,None,jigar shastri,2013-12-01 12:58:44,518,866,2224934510,,False,Twitter for iPhone,
2021-08-09 18:10:46,"b""RT @Vasuragh: Kidney Warriors Foundation can't ignore needs of young parents struggling to manage their babies who face some kind of kidney\xe2\x80\xa6""",1424795304142917652,,None,None,4,None,ShreePrakash Mishra,2016-10-06 07:40:21,437,4981,783934906548293633,"मुंबई, भारत",True,Twitter for Android,
2021-08-09 18:10:06,"b'A time to educate individuals on the need for minority donors and the facts surrounding organ, eye, tissue and bloo\xe2\x80\xa6 https://t.co/xZbRpaBpRr'",1424795135745929224,,None,None,0,None,IBS Treatment Center,2010-04-27 20:31:38,1775,396,137804520,Seattle and Los Angeles,False,Hootsuite Inc.,WA
2021-08-09 18:01:10,b'Welcome @CUWisconsin as a new SODA chapter! We are so excited to expand our chapters and have even more students ad\xe2\x80\xa6 https://t.co/bCZrGeDwX9',1424792886529380358,,None,None,0,None,SODA National,2018-07-07 02:09:54,181,239,1015417593262411777,United States,False,Hootsuite Inc.,
2021-08-09 18:01:00,"b""Advocating for live organ donation means I have to put myself out there, even if it's uncomfortable. I did this tal\xe2\x80\xa6 https://t.co/M13N596IVL""",1424792845555208194,,None,None,1,None,Amy Donohue,2008-05-29 21:34:26,6627,6812,14948551,Phoenix Arizona,True,Twitter Web App,AZ
2021-08-09 17:35:51,b'@babylon_lady @JamGloom @HowNowB84345362 @inmyownfashion2 I think the families of organ donors should pay for all t\xe2\x80\xa6 https://t.co/7lH5uWABZj',1424786516912529416,,None,None,0,None,John Howard,2010-03-07 21:10:24,639,870,120875947,"Massachusetts, USA",True,Twitter for iPhone,MA
2021-08-09 17:33:08,b'Free YCOD Pin or Sticker from Youth Coalition for Organ Donation\n\nhttps://t.co/roE4B7HKlz',1424785834411282433,,None,None,0,None,VonBeau,2008-11-18 13:41:50,4350,559,17463954,"Florida, USA",False,Hootsuite Inc.,FL
2021-08-09 17:02:58,"b'@KnowWhatEyeMeme Better make sure to exercise freedom of choice whether casket or urn, organ donation or not, and distribution of assets'",1424778241642881025,,None,None,0,None,David S,2012-11-24 11:40:34,3366,3185,967861188,"Seattle, WA",True,Twitter Web App,WA
2021-08-09 17:01:03,"b""It's National Minority Donor Awareness Month, and we are kicking it off by sharing what this is all about for Nevad\xe2\x80\xa6 https://t.co/lLTZAa81BA""",1424777757473525761,,None,None,0,None,Las Vegas Lights FC,2017-07-08 23:01:04,20580,776,883823274269917189,"Las Vegas, NV",True,Hootsuite Inc.,NV
2021-08-09 16:56:00,b'Parents and guardians are warmly welcome to join our organ donation awareness seminar. The actual project starts in\xe2\x80\xa6 https://t.co/bpBymwGW9O',1424776488663097348,,None,None,0,None,Elizabeth,2015-11-09 17:01:51,89,112,4150444599,Altrincham,False,Twitter for iPhone,
2021-08-09 16:49:10,"b'DEAR DR. ROACH: I am an 86-year-old woman, and my sister is 91. We are both in good health, with normal health issu\xe2\x80\xa6 https://t.co/Pv6D6ND5Te'",1424774770256666625,,None,None,0,None,GazetteTimes.com,2008-08-14 18:27:02,6850,1017,15853821,"Corvallis, OR",True,SocialNewsDesk,OR
2021-08-09 16:48:10,"b'DEAR DR. ROACH: I am an 86-year-old woman, and my sister is 91. We are both in good health, with normal health issu\xe2\x80\xa6 https://t.co/y2W4GbXBso'",1424774517436600322,,None,None,0,None,Democrat-Herald,2009-01-13 17:55:50,3282,185,18945939,Albany,False,SocialNewsDesk,NY
2021-08-09 16:36:40,"b""RT @DonateLifeCO: It's important to say yes to organ, eye and tissue donation. While transplant matches are not made based on ethnicity, tr\xe2\x80\xa6""",1424771622620250116,,None,None,2,None,Joe Lafferty❤️🇮🇱,2010-02-13 02:21:22,873,590,113793424,Doing all i can with all i got,True,Twitter for iPhone,
2021-08-09 16:31:34,"b'RT @Dilip_Deshmukh: \xe0\xaa\x85\xe0\xaa\x82\xe0\xaa\x97\xe0\xaa\xa6\xe0\xaa\xbe\xe0\xaa\xa8 \xe0\xaa\x9c\xe0\xab\x80\xe0\xaa\xb5\xe0\xaa\xa8\xe0\xaa\xa6\xe0\xaa\xbe\xe0\xaa\xa8!\n\xe0\xaa\xa1\xe0\xab\x8b.\xe0\xaa\xa0\xe0\xab\x81\xe0\xaa\xae\xe0\xab\x8d\xe0\xaa\xae\xe0\xaa\xb0\xe0\xaa\xa8\xe0\xab\x81\xe0\xaa\x82 Quote \nDeath can bring life, \nsorrow can turn to hope, and \na terrible loss can become the\xe2\x80\xa6'",1424770339666415624,,None,None,17,None,Dharmendra Panchal,2011-11-22 10:39:00,231,240,418587535,"Vododara, India",False,Twitter for iPhone,
2021-08-09 16:30:10,"b'Zion Desmarais impacted many throughout his life. He became a hero when he saved and healed lives through organ, ti\xe2\x80\xa6 https://t.co/wN4Ux0eCnU'",1424769985658998787,,None,None,0,None,Gift of Life,2009-08-25 14:34:40,4175,1256,68707862,"PA, DE and NJ",True,Hootsuite Inc.,PA
2021-08-09 16:28:35,b'RT @lighten1: @Donate4Daithi @FeileBelfast @NHSOrganDonor @OrganDonationNI @share_wishes @niodst @publichealthni @FailteFeirste Organ donat\xe2\x80\xa6',1424769589276286981,,None,None,1,None,Share Your Wishes,2017-10-22 11:49:53,3340,2706,922067480612360193,Sussex United Kingdom ,True,Twitter for Android,
2021-08-09 16:25:29,b'RT @MaddogStrong: Are you an Illinois High School Health or Science Teacher who would be interested in free curriculum materials to educate\xe2\x80\xa6',1424768809701871626,,None,None,1,None,Tatiana,2018-05-06 01:48:27,163,1025,992944146666196992,She/her,True,Twitter for iPhone,
2021-08-09 16:22:23,b'Are you an Illinois High School Health or Science Teacher who would be interested in free curriculum materials to e\xe2\x80\xa6 https://t.co/jOJ77D3cTC',1424768029150355460,,None,None,1,None,Maddog Strong,2019-07-21 02:35:39,161,152,1152769075560550400,,False,Twitter for iPhone,
2021-08-09 16:18:10,b'@razaacademyho @NetflixIndia China \xe2\x9b\x8f\xef\xb8\x8f\xf0\x9f\x87\xa8\xf0\x9f\x87\xb3is the best medicine to control this disease ...and 1) u say blood &amp; organ d\xe2\x80\xa6 https://t.co/5o3PfV3rfI',1424766968360411136,,None,None,0,None,Kalaiarasan subburam,2021-01-17 18:31:30,0,3,1350873264206217218,Mumbai,False,Twitter Web App,
2021-08-09 16:15:50,"b'Short #Documentary\n""Starting 1999, the no. of #TransplantCenters in #China increased 300% in 8yrs, even though\xf0\x9f\x87\xa8\xf0\x9f\x87\xb3has\xe2\x80\xa6 https://t.co/wvTweNLtFP'",1424766378800779275,,None,None,0,Documentary,China Alarm,2019-11-29 15:17:21,648,626,1200433400508821509,The Netherlands,False,Twitter for Android,
2021-08-09 16:14:55,"b'RT @pradipsinhbjp: ""\xe0\xa4\x85\xe0\xa4\x82\xe0\xa4\x97\xe0\xa4\xa6\xe0\xa4\xbe\xe0\xa4\xa8 \xe0\xa4\xae\xe0\xa4\xb9\xe0\xa4\xbe\xe0\xa4\xa6\xe0\xa4\xbe\xe0\xa4\xa8""\n\nWith organ donation you can save upto eight lives.\n\nLet us all help everyone need and put an end to the\xe2\x80\xa6'",1424766149523247106,,None,None,135,None,Dhruv Vachheta,2018-06-02 12:59:03,263,484,1002897380558168066,"Ahmadabad City, India",False,Twitter for Android,
2021-08-09 16:09:29,"b""@NYGovCuomo Andrew you hang in there! Set up a donation&amp; support site! It's time for men to call out these Jezebel\xe2\x80\xa6 https://t.co/Z1pUtGbP8n""",1424764780238163974,,None,None,0,None,Isaac Crabtree,2016-06-18 13:06:16,52,103,744154261638918144,"South Point, Ohio",True,Twitter for Android,OH
2021-08-09 16:03:14,"b""RT @GemmaWiles: YES! @AtkinsDani proving to me, yet again, why she's my favourite author. Thought-provoking, emotional &amp; intimate - from th\xe2\x80\xa6""",1424763207000932364,,None,None,2,None,Blake Friedmann Literary Agency,2012-08-23 11:21:04,8760,2025,775745744,London,True,TweetDeck,
2021-08-09 16:02:00,"b'#DidYouKnow \xe2\x80\x93 of the 10,000 Texans waiting for a lifesaving organ transplant, more than two-thirds are African Amer\xe2\x80\xa6 https://t.co/c13NTvEhXM'",1424762896907743239,,None,None,0,DidYouKnow,Three Box Strategic,2009-12-16 20:01:06,1054,1651,97278101,"Dallas, TX",True,Twitter Web App,TX
2021-08-09 16:01:18,b'Are you aware of the importance of organ donations in 2021?\n\nThere are still people on the waiting list in need of\xe2\x80\xa6 https://t.co/iCbUUxl0bl',1424762721082425345,,None,None,0,None,Caribbean African Health Network,2017-06-08 09:17:47,2150,1423,872744452728770560,Greater Manchester UK,True,Hootsuite Inc.,
2021-08-09 16:01:04,b'RT @potts_kc: \xe2\x81\xa6\xe2\x81\xa6@Colts\xe2\x81\xa9 - Briggs is your super fan - has memorized every statistic. He is hanging on to give a kid a chance at life from hi\xe2\x80\xa6',1424762665604456448,,None,None,115,None,Nick Gazerro - Palmer Report Reader 😷 #MaskUp :),2019-09-06 22:10:22,1878,5000,1170096895966007298,"Norwood, MA",True,Twitter for Android,OH
2021-08-09 15:48:26,b'RT @swblackwood1950: @StevijoPayne I would say that dying while suffering ANY serious infectious disease is in eligible for organ donation.',1424759482945519619,,None,None,1,None,Stevie Joe Payne,2017-05-30 04:57:20,32848,11116,869417417327480832,"Bartlesville, OK",True,Twitter for Android,OK
2021-08-09 15:47:52,"b""RT @kidneycareuk: Have you, or your friends/family, ever wanted to know what's involved with going on to the organ donation waiting list? I\xe2\x80\xa6""",1424759340314071043,,None,None,4,None,Access Campaign,2017-03-29 21:13:56,6359,2867,847195142104723456,Global,False,Twitter Web App,
2021-08-09 15:43:08,"b'RT @StelladeKock: @tellorgza @GrootFM I had a chat about organ and tissue donation with Die Groot Ontbyt. If you understand Afrikaans, have\xe2\x80\xa6'",1424758151862161413,,None,None,1,None,Stella de Kock,2011-06-06 14:33:53,120,622,312062369,,True,Twitter for iPhone,
2021-08-09 15:42:28,b'@tellorgza @GrootFM I had a chat about organ and tissue donation with Die Groot Ontbyt. If you understand Afrikaans\xe2\x80\xa6 https://t.co/8bTgZbOena',1424757984836587520,,None,None,1,None,Stella de Kock,2011-06-06 14:33:53,120,622,312062369,,True,Twitter for iPhone,
2021-08-09 15:39:19,b'RT @VUMChealth: The Vanderbilt Transplant Center won this national honor \xe2\x80\x9cfor saving and improving lives during the ongoing COVID-19 pandem\xe2\x80\xa6',1424757192213794830,,None,None,4,None,Women's Health Research at VUMC,2020-02-04 19:46:56,70,46,1224781323274842112,,False,Twitter Web App,
2021-08-09 15:35:55,"b'RT @LifeNetHealth: Alex\xc2\xa0Encila taught kids basketball at the YMCA, enjoyed frequenting local restaurants, played guitar and wrote songs. Hi\xe2\x80\xa6'",1424756333354659840,,None,None,1,None,New England Donor Services,2009-08-21 15:09:52,2867,329,67629654,New England,True,Twitter for iPhone,
2021-08-09 15:31:53,b'@StevijoPayne I would say that dying while suffering ANY serious infectious disease is in eligible for organ donation.',1424755320912596994,,None,None,1,None,Steve from Milwaukee 🇺🇸,2015-07-25 20:40:46,2099,2890,3293622751,"Milwaukee, WI",True,Twitter for iPad,WI
2021-08-09 15:29:40,"b'RT @donatelifenw: Rest in peace and power, donor hero! --&gt; Nevada Highway Patrol Trooper May saves lives through organ donation https://t.c\xe2\x80\xa6'",1424754763611009027,,None,None,1,None,~Caran,2011-07-08 06:27:30,2566,532,331463208,"Vancouver, Wa",True,Twitter for iPhone,WA
2021-08-09 15:19:51,b'RT @YiCoimbatore: Request all fitness/Runner/Cycling enthusiasts to club your fitness with a noble cause and spread the awareness of organ\xe2\x80\xa6',1424752292222275584,,None,None,1,None,CA Thangavel M,2009-07-17 15:35:40,710,1609,57673151,"Coimbatore, India",True,Twitter for iPhone,
2021-08-09 15:19:18,b'Request all fitness/Runner/Cycling enthusiasts to club your fitness with a noble cause and spread the awareness of\xe2\x80\xa6 https://t.co/q9mfM1cBKk',1424752153160081414,,None,None,1,None,Yi Coimbatore,2011-11-22 09:42:35,534,87,418558285,Coimbatore,True,Twitter for Android,
2021-08-09 15:18:44,"b'RT @pradipsinhbjp: ""\xe0\xa4\x85\xe0\xa4\x82\xe0\xa4\x97\xe0\xa4\xa6\xe0\xa4\xbe\xe0\xa4\xa8 \xe0\xa4\xae\xe0\xa4\xb9\xe0\xa4\xbe\xe0\xa4\xa6\xe0\xa4\xbe\xe0\xa4\xa8""\n\nWith organ donation you can save upto eight lives.\n\nLet us all help everyone need and put an end to the\xe2\x80\xa6'",1424752009652015110,,None,None,135,None,Mr. Prajapati,2020-07-28 10:43:38,25,17,1288062492770361344,,False,Twitter for Android,
2021-08-09 15:18:38,"b'RT @pradipsinhbjp: ""\xe0\xa4\x85\xe0\xa4\x82\xe0\xa4\x97\xe0\xa4\xa6\xe0\xa4\xbe\xe0\xa4\xa8 \xe0\xa4\xae\xe0\xa4\xb9\xe0\xa4\xbe\xe0\xa4\xa6\xe0\xa4\xbe\xe0\xa4\xa8""\n\nWith organ donation you can save upto eight lives.\n\nLet us all help everyone need and put an end to the\xe2\x80\xa6'",1424751985924796418,,None,None,135,None,Rajesh Joshi,2018-01-02 09:52:10,4020,4884,948129783212269569,Nakhatrana Kutch-Gujarat,True,Twitter for Android,
2021-08-09 15:15:19,"b'Rest in peace and power, donor hero! --&gt; Nevada Highway Patrol Trooper May saves lives through organ donation https://t.co/q1QKZosvud'",1424751149966499842,,None,None,1,None,Donate Life NW,2008-11-20 23:58:39,2101,2455,17526317,"Portland, OR",True,Twitter Web App,OR
2021-08-09 15:11:00,"b""RT @Vasuragh: Kidney Warriors Foundation can't ignore needs of young parents struggling to manage their babies who face some kind of kidney\xe2\x80\xa6""",1424750065067847684,,None,None,4,None,Sejal P. Jobanputra,2010-03-04 11:12:02,1512,692,119696728,Pluto ,True,Twitter for Android,
2021-08-09 15:10:22,"b""RT @kidneycareuk: Have you, or your friends/family, ever wanted to know what's involved with going on to the organ donation waiting list? I\xe2\x80\xa6""",1424749905244041217,,None,None,4,None,Fiona Loud 💙,2009-06-26 12:08:14,4318,2354,51031420,"St Albans, Hertfordshire",False,Twitter Web App,
2021-08-09 15:05:41,"b'NSS of IHE in collaboration with NSS of NSUT @nssnsutcell is organising a webinar on ""Leave a legacy of life"" on Or\xe2\x80\xa6 https://t.co/CNKAWh9P4X'",1424748726124310528,,None,None,0,None,National Service Scheme,2021-08-09 09:35:26,2,1,1424665572042625028,,False,Twitter for Android,
2021-08-09 15:03:16,b'https://t.co/L8cNWu7ZyY private title companies social security numbers AND organ donation - Google Search\n\nI learn\xe2\x80\xa6 https://t.co/kUai9OJ0Fh',1424748116532727809,,None,None,0,None,Definitely Not Heather Peno,2008-12-23 18:03:50,1494,1614,18338324,Stateless,False,Twitter for iPhone,
2021-08-09 15:02:39,"b""Kidney Warriors Foundation can't ignore needs of young parents struggling to manage their babies who face some kind\xe2\x80\xa6 https://t.co/E5F3nacMAd""",1424747961913790466,,None,None,4,None,Vasundhara Raghavan,2011-05-31 09:21:16,1722,2135,308377202,"Mumbai, India",True,Twitter Web App,
2021-08-09 15:01:18,"b""RT @kidneycareuk: Have you, or your friends/family, ever wanted to know what's involved with going on to the organ donation waiting list? I\xe2\x80\xa6""",1424747623249059842,,None,None,4,None,Jo-Anne Dobson,2011-10-05 15:22:02,8717,3156,385472167,Waringstown / Banbridge,True,Twitter for Android,
2021-08-09 14:58:15,"b""It's important to say yes to organ, eye and tissue donation. While transplant matches are not made based on ethnici\xe2\x80\xa6 https://t.co/SmiCH90lAc""",1424746857331310593,,None,None,2,None,Donate Life Colorado,2009-11-16 19:25:42,2765,1493,90463824,Colorado,True,Hootsuite Inc.,CO
2021-08-09 14:57:59,"b""It's important to say yes to organ, eye and tissue donation. While transplant matches are not made based on ethnici\xe2\x80\xa6 https://t.co/4byzXAcRPL""",1424746786623836168,,None,None,0,None,Donate Life Wyoming,2009-11-16 19:28:08,2065,1290,90464293,Wyoming,True,Hootsuite Inc.,WY
2021-08-09 14:55:29,"b""Our research on organ donation &amp;  ethnicity came to similar conclusions/ideas when tackling 'reluctance.' \nhttps://t.co/fokZ3GQDmr""",1424746158224707587,,None,None,0,None,Dr Glenn Smith,2021-07-06 20:09:19,13,32,1412503898783354880,"Bournemouth, England",False,Twitter for Android,
2021-08-09 14:54:48,b'@tucsoniris To be very clear\xe2\x80\xa6\nForty percent of the population is no longer needed as free or cheap labor\xe2\x80\xa6\nThis mean\xe2\x80\xa6 https://t.co/mbGE4Z1o0x',1424745988195983367,,None,None,0,None,James Madison. U.S. Veteran For Peace,2019-03-01 19:01:51,4297,4912,1101558181568733184,Planet Earth,False,Twitter for iPhone,
2021-08-09 14:54:43,"b""RT @GemmaWiles: YES! @AtkinsDani proving to me, yet again, why she's my favourite author. Thought-provoking, emotional &amp; intimate - from th\xe2\x80\xa6""",1424745965798445059,,None,None,2,None,Dani Atkins,2013-05-29 15:54:24,1690,224,1467588018,"Hertfordshire, UK",False,Twitter for iPhone,
2021-08-09 14:51:24,"b'@kcur I signed up for KU\xe2\x80\x99s Emerging Infectious Disease Team during Ebola, yet still COVID broke me. A year and a ha\xe2\x80\xa6 https://t.co/fBYPbrI3QU'",1424745132457435138,,None,None,0,None,Katrina Abella,2009-02-25 03:32:01,238,850,21832126,,True,Twitter for iPhone,
2021-08-09 14:49:31,b'Interesting read. Think about your life &amp; death. Write down your wishes. Write down what you do/don\xe2\x80\x99t want done for\xe2\x80\xa6 https://t.co/SLiDNe0ioH',1424744659599888387,,None,None,0,None,darksidecomics,2013-01-21 19:49:45,844,2078,1109917094,,False,Twitter for iPhone,
